DATAFLOW,LAST UPDATE,freq,nace_r2,indic_em,sex,isco08,worktime,age,indic_se,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,EU27_2020,2010,32.9,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,EU27_2020,2014,31.1,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,EU27_2020,2018,36.2,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,FI,2010,27.1,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,FI,2014,24.3,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,FI,2018,24.5,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,FR,2006,33.7,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,FR,2010,31.7,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,FR,2014,29.6,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,FR,2018,29.6,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,HR,2010,23.0,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,HR,2014,24.4,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,HR,2018,25.5,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,HU,2010,27.2,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,HU,2014,27.7,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,HU,2018,28.1,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,IE,2010,34.8,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,IE,2014,36.8,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,IE,2018,35.9,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,IS,2010,32.8,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,IS,2014,34.0,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,IS,2018,31.2,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,IT,2010,44.0,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,IT,2014,43.2,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,IT,2018,43.0,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,LT,2010,12.3,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,LT,2014,19.2,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,LT,2018,20.4,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,LU,2010,38.4,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,LU,2014,32.5,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,LU,2018,23.2,
